semester,weekday,day_name,hour,hour_avg
FALL SEMESTER 2019,0,Mon,00,0.05555555555555555
FALL SEMESTER 2019,0,Mon,01,0.05555555555555555
FALL SEMESTER 2019,0,Mon,02,0.0
FALL SEMESTER 2019,0,Mon,03,0.1111111111111111
FALL SEMESTER 2019,0,Mon,04,0.1111111111111111
FALL SEMESTER 2019,0,Mon,05,0.0
FALL SEMESTER 2019,0,Mon,06,0.1111111111111111
FALL SEMESTER 2019,0,Mon,07,0.0
FALL SEMESTER 2019,0,Mon,08,0.0
FALL SEMESTER 2019,0,Mon,09,1.0
FALL SEMESTER 2019,0,Mon,10,0.3333333333333333
FALL SEMESTER 2019,0,Mon,11,0.4444444444444444
FALL SEMESTER 2019,0,Mon,12,1.1666666666666667
FALL SEMESTER 2019,0,Mon,13,1.1666666666666667
FALL SEMESTER 2019,0,Mon,14,1.7777777777777777
FALL SEMESTER 2019,0,Mon,15,1.7222222222222223
FALL SEMESTER 2019,0,Mon,16,0.6111111111111112
FALL SEMESTER 2019,0,Mon,17,0.9444444444444444
FALL SEMESTER 2019,0,Mon,18,0.5555555555555556
FALL SEMESTER 2019,0,Mon,19,0.16666666666666666
FALL SEMESTER 2019,0,Mon,20,0.3333333333333333
FALL SEMESTER 2019,0,Mon,21,1.7777777777777777
FALL SEMESTER 2019,0,Mon,22,0.4444444444444444
FALL SEMESTER 2019,0,Mon,23,0.16666666666666666
FALL SEMESTER 2019,1,Tue,00,0.2777777777777778
FALL SEMESTER 2019,1,Tue,01,0.2222222222222222
FALL SEMESTER 2019,1,Tue,02,0.0
FALL SEMESTER 2019,1,Tue,03,0.0
FALL SEMESTER 2019,1,Tue,04,0.0
FALL SEMESTER 2019,1,Tue,05,0.0
FALL SEMESTER 2019,1,Tue,06,0.0
FALL SEMESTER 2019,1,Tue,07,0.0
FALL SEMESTER 2019,1,Tue,08,0.0
FALL SEMESTER 2019,1,Tue,09,0.3888888888888889
FALL SEMESTER 2019,1,Tue,10,0.3888888888888889
FALL SEMESTER 2019,1,Tue,11,0.2222222222222222
FALL SEMESTER 2019,1,Tue,12,0.3333333333333333
FALL SEMESTER 2019,1,Tue,13,0.8333333333333334
FALL SEMESTER 2019,1,Tue,14,1.7222222222222223
FALL SEMESTER 2019,1,Tue,15,1.0
FALL SEMESTER 2019,1,Tue,16,1.1666666666666667
FALL SEMESTER 2019,1,Tue,17,0.9444444444444444
FALL SEMESTER 2019,1,Tue,18,0.7777777777777778
FALL SEMESTER 2019,1,Tue,19,0.5555555555555556
FALL SEMESTER 2019,1,Tue,20,0.7777777777777778
FALL SEMESTER 2019,1,Tue,21,0.6111111111111112
FALL SEMESTER 2019,1,Tue,22,0.16666666666666666
FALL SEMESTER 2019,1,Tue,23,0.3333333333333333
FALL SEMESTER 2019,2,Wed,00,0.2777777777777778
FALL SEMESTER 2019,2,Wed,01,0.0
FALL SEMESTER 2019,2,Wed,02,0.16666666666666666
FALL SEMESTER 2019,2,Wed,03,0.0
FALL SEMESTER 2019,2,Wed,04,0.0
FALL SEMESTER 2019,2,Wed,05,0.0
FALL SEMESTER 2019,2,Wed,06,0.0
FALL SEMESTER 2019,2,Wed,07,0.0
FALL SEMESTER 2019,2,Wed,08,0.0
FALL SEMESTER 2019,2,Wed,09,0.7777777777777778
FALL SEMESTER 2019,2,Wed,10,0.5555555555555556
FALL SEMESTER 2019,2,Wed,11,0.6666666666666666
FALL SEMESTER 2019,2,Wed,12,0.7222222222222222
FALL SEMESTER 2019,2,Wed,13,1.0555555555555556
FALL SEMESTER 2019,2,Wed,14,1.7222222222222223
FALL SEMESTER 2019,2,Wed,15,1.8333333333333333
FALL SEMESTER 2019,2,Wed,16,0.7777777777777778
FALL SEMESTER 2019,2,Wed,17,0.8333333333333334
FALL SEMESTER 2019,2,Wed,18,0.6666666666666666
FALL SEMESTER 2019,2,Wed,19,0.8333333333333334
FALL SEMESTER 2019,2,Wed,20,0.8888888888888888
FALL SEMESTER 2019,2,Wed,21,0.8333333333333334
FALL SEMESTER 2019,2,Wed,22,1.0555555555555556
FALL SEMESTER 2019,2,Wed,23,0.0
FALL SEMESTER 2019,3,Thu,00,0.0
FALL SEMESTER 2019,3,Thu,01,0.1111111111111111
FALL SEMESTER 2019,3,Thu,02,0.2777777777777778
FALL SEMESTER 2019,3,Thu,03,0.0
FALL SEMESTER 2019,3,Thu,04,0.0
FALL SEMESTER 2019,3,Thu,05,0.1111111111111111
FALL SEMESTER 2019,3,Thu,06,0.0
FALL SEMESTER 2019,3,Thu,07,0.0
FALL SEMESTER 2019,3,Thu,08,0.1111111111111111
FALL SEMESTER 2019,3,Thu,09,0.8888888888888888
FALL SEMESTER 2019,3,Thu,10,0.4444444444444444
FALL SEMESTER 2019,3,Thu,11,0.2777777777777778
FALL SEMESTER 2019,3,Thu,12,0.9473684210526315
FALL SEMESTER 2019,3,Thu,13,1.0
FALL SEMESTER 2019,3,Thu,14,2.3684210526315788
FALL SEMESTER 2019,3,Thu,15,1.368421052631579
FALL SEMESTER 2019,3,Thu,16,1.4210526315789473
FALL SEMESTER 2019,3,Thu,17,1.631578947368421
FALL SEMESTER 2019,3,Thu,18,0.8421052631578947
FALL SEMESTER 2019,3,Thu,19,1.1578947368421053
FALL SEMESTER 2019,3,Thu,20,0.7894736842105263
FALL SEMESTER 2019,3,Thu,21,1.368421052631579
FALL SEMESTER 2019,3,Thu,22,1.0
FALL SEMESTER 2019,3,Thu,23,1.0
FALL SEMESTER 2019,4,Fri,00,0.05263157894736842
FALL SEMESTER 2019,4,Fri,01,0.15789473684210525
FALL SEMESTER 2019,4,Fri,02,0.3684210526315789
FALL SEMESTER 2019,4,Fri,03,0.05263157894736842
FALL SEMESTER 2019,4,Fri,04,0.05263157894736842
FALL SEMESTER 2019,4,Fri,05,0.21052631578947367
FALL SEMESTER 2019,4,Fri,06,0.0
FALL SEMESTER 2019,4,Fri,07,0.0
FALL SEMESTER 2019,4,Fri,08,0.0
FALL SEMESTER 2019,4,Fri,09,0.3157894736842105
FALL SEMESTER 2019,4,Fri,10,0.8421052631578947
FALL SEMESTER 2019,4,Fri,11,1.0
FALL SEMESTER 2019,4,Fri,12,0.47368421052631576
FALL SEMESTER 2019,4,Fri,13,1.263157894736842
FALL SEMESTER 2019,4,Fri,14,1.736842105263158
FALL SEMESTER 2019,4,Fri,15,1.368421052631579
FALL SEMESTER 2019,4,Fri,16,1.631578947368421
FALL SEMESTER 2019,4,Fri,17,1.9473684210526316
FALL SEMESTER 2019,4,Fri,18,0.3684210526315789
FALL SEMESTER 2019,4,Fri,19,0.8421052631578947
FALL SEMESTER 2019,4,Fri,20,1.3157894736842106
FALL SEMESTER 2019,4,Fri,21,0.7368421052631579
FALL SEMESTER 2019,4,Fri,22,0.05263157894736842
FALL SEMESTER 2019,4,Fri,23,0.10526315789473684
FALL SEMESTER 2019,5,Sat,00,0.0
FALL SEMESTER 2019,5,Sat,01,0.0
FALL SEMESTER 2019,5,Sat,02,0.10526315789473684
FALL SEMESTER 2019,5,Sat,03,0.0
FALL SEMESTER 2019,5,Sat,04,0.0
FALL SEMESTER 2019,5,Sat,05,0.0
FALL SEMESTER 2019,5,Sat,06,0.0
FALL SEMESTER 2019,5,Sat,07,0.0
FALL SEMESTER 2019,5,Sat,08,0.0
FALL SEMESTER 2019,5,Sat,09,0.10526315789473684
FALL SEMESTER 2019,5,Sat,10,0.0
FALL SEMESTER 2019,5,Sat,11,0.3157894736842105
FALL SEMESTER 2019,5,Sat,12,1.0526315789473684
FALL SEMESTER 2019,5,Sat,13,1.105263157894737
FALL SEMESTER 2019,5,Sat,14,0.8947368421052632
FALL SEMESTER 2019,5,Sat,15,1.2105263157894737
FALL SEMESTER 2019,5,Sat,16,0.7894736842105263
FALL SEMESTER 2019,5,Sat,17,1.263157894736842
FALL SEMESTER 2019,5,Sat,18,0.631578947368421
FALL SEMESTER 2019,5,Sat,19,1.2105263157894737
FALL SEMESTER 2019,5,Sat,20,1.7894736842105263
FALL SEMESTER 2019,5,Sat,21,0.47368421052631576
FALL SEMESTER 2019,5,Sat,22,0.0
FALL SEMESTER 2019,5,Sat,23,0.0
FALL SEMESTER 2019,6,Sun,00,0.21052631578947367
FALL SEMESTER 2019,6,Sun,01,0.0
FALL SEMESTER 2019,6,Sun,02,0.0
FALL SEMESTER 2019,6,Sun,03,0.0
FALL SEMESTER 2019,6,Sun,04,0.0
FALL SEMESTER 2019,6,Sun,05,0.0
FALL SEMESTER 2019,6,Sun,06,0.0
FALL SEMESTER 2019,6,Sun,07,0.0
FALL SEMESTER 2019,6,Sun,08,0.0
FALL SEMESTER 2019,6,Sun,09,0.10526315789473684
FALL SEMESTER 2019,6,Sun,10,0.10526315789473684
FALL SEMESTER 2019,6,Sun,11,0.47368421052631576
FALL SEMESTER 2019,6,Sun,12,0.15789473684210525
FALL SEMESTER 2019,6,Sun,13,0.3157894736842105
FALL SEMESTER 2019,6,Sun,14,0.3684210526315789
FALL SEMESTER 2019,6,Sun,15,1.105263157894737
FALL SEMESTER 2019,6,Sun,16,0.6842105263157895
FALL SEMESTER 2019,6,Sun,17,1.0526315789473684
FALL SEMESTER 2019,6,Sun,18,0.8947368421052632
FALL SEMESTER 2019,6,Sun,19,0.3157894736842105
FALL SEMESTER 2019,6,Sun,20,0.3684210526315789
FALL SEMESTER 2019,6,Sun,21,0.8333333333333334
FALL SEMESTER 2019,6,Sun,22,0.2777777777777778
FALL SEMESTER 2019,6,Sun,23,0.2222222222222222
FALL SEMESTER 2020,0,Mon,00,0.0
FALL SEMESTER 2020,0,Mon,01,0.0
FALL SEMESTER 2020,0,Mon,02,0.0
FALL SEMESTER 2020,0,Mon,03,0.0
FALL SEMESTER 2020,0,Mon,04,0.0
FALL SEMESTER 2020,0,Mon,05,0.0
FALL SEMESTER 2020,0,Mon,06,0.0
FALL SEMESTER 2020,0,Mon,07,0.0
FALL SEMESTER 2020,0,Mon,08,0.0
FALL SEMESTER 2020,0,Mon,09,0.0
FALL SEMESTER 2020,0,Mon,10,0.0
FALL SEMESTER 2020,0,Mon,11,0.0
FALL SEMESTER 2020,0,Mon,12,0.0
FALL SEMESTER 2020,0,Mon,13,0.0
FALL SEMESTER 2020,0,Mon,14,0.0
FALL SEMESTER 2020,0,Mon,15,0.0
FALL SEMESTER 2020,0,Mon,16,0.0
FALL SEMESTER 2020,0,Mon,17,0.0
FALL SEMESTER 2020,0,Mon,18,0.125
FALL SEMESTER 2020,0,Mon,19,0.0
FALL SEMESTER 2020,0,Mon,20,0.0
FALL SEMESTER 2020,0,Mon,21,0.0
FALL SEMESTER 2020,0,Mon,22,0.0
FALL SEMESTER 2020,0,Mon,23,0.0
FALL SEMESTER 2020,1,Tue,00,0.0
FALL SEMESTER 2020,1,Tue,01,0.0
FALL SEMESTER 2020,1,Tue,02,0.0
FALL SEMESTER 2020,1,Tue,03,0.0
