title,station_library,year,num_checkouts
7 days to die.: survival horde crafting game / developed by The Fun Pimps,HUNT,2019,2
Arms,DHHILL,2019,2
Arms,HUNT,2019,3
Assassin's creed : syndicate / Ubisoft,DHHILL,2019,1
Assassin's creed IV : black flag,DHHILL,2019,1
Assassin's creed. Syndicate / developed and published by Ubisoft,DHHILL,2019,1
Assassin's creed. Syndicate / developed and published by Ubisoft,HUNT,2019,5
Assassin's creed. Unity,HUNT,2019,3
Batman: Arkham knight / developed by Rocksteady Studios Ltd,DHHILL,2019,6
Battlefield 1 / EA DICE,DHHILL,2019,1
Battlefield 4,HUNT,2019,2
Battlefield. Hardline / Visceral Games,HUNT,2019,1
Bioshock : the collection,DHHILL,2019,2
Bioshock : the collection,HUNT,2019,2
Bloodborne,DHHILL,2019,11
Borderlands : the handsome collection,DHHILL,2019,1
CTR : Crash team racing : nitro fueled / Activision,HUNT,2019,4
Call of duty. Black Ops III,DHHILL,2019,4
Call of duty. Black Ops III,HUNT,2019,9
Call of duty. Ghosts,DHHILL,2019,1
Call of duty:  black ops IIII,DHHILL,2019,6
Call of duty:  black ops IIII,HUNT,2019,6
Call of duty: Infinite warfare,HUNT,2019,23
Call of duty: WWII / Sledgehammer Games,DHHILL,2019,8
Crackdown 3,DHHILL,2019,1
Dark souls III : the fire fades edition,HUNT,2019,1
Days gone / [developed by] Bend Studio,HUNT,2019,7
"Destiny 2 / Bungie, Activision",DHHILL,2019,12
"Destiny 2 / Bungie, Activision",HUNT,2019,3
"Destiny. The taken king / [developed by] Bungie, Inc",DHHILL,2019,3
Deus ex : mankind divided,DHHILL,2019,1
Deus ex : mankind divided,HUNT,2019,1
Devil may cry 5 / Capcom ; Simplygon Studios ; RE Engine,DHHILL,2019,2
Devil may cry 5 / Capcom ; Simplygon Studios ; RE Engine,HUNT,2019,4
Dishonored2,DHHILL,2019,1
Doom,HUNT,2019,2
Dragon Ball FighterZ,DHHILL,2019,1
Dying light / developed by Techland,DHHILL,2019,2
F1 2018 : the official video game / developed by Codemasters,DHHILL,2019,2
F1 2018 : the official video game / developed by Codemasters,HUNT,2019,4
FIFA 15 / EA Sports,DHHILL,2019,3
FIFA 15 / EA Sports,HUNT,2019,6
FIFA 16,DHHILL,2019,2
FIFA 16,HUNT,2019,5
FIFA 18 / Electronic Arts,DHHILL,2019,1
FIFA 19 / EA Sports,DHHILL,2019,4
FIFA 19 / EA Sports,HUNT,2019,22
FIFA14,HUNT,2019,7
Fallout 4 / Bethesda,DHHILL,2019,5
Fallout 4 / Bethesda,HUNT,2019,5
Farcry 5 / developed and published by Ubisoft,DHHILL,2019,1
Final fantasy X/X2 HD remaster,HUNT,2019,1
Forza horizon,HUNT,2019,1
Forza horizon 4,DHHILL,2019,1
Forza horizon 4,HUNT,2019,17
Gal*Gun : Double Peace,DHHILL,2019,2
God of war saga,DHHILL,2019,1
God of war saga,HUNT,2019,1
Gran Turismo sport : the real driving simulator / Polyphony Digital,DHHILL,2019,3
Gran Turismo sport : the real driving simulator / Polyphony Digital,HUNT,2019,13
Grand theft auto V,DHHILL,2019,1
Grand theft auto V,HUNT,2019,1
Guilty gear Xrd rev 2 / developed by ARC System Works,DHHILL,2019,8
Halo 5. Guardians,DHHILL,2019,1
Halo 5. Guardians,HUNT,2019,8
Halo : Reach / Bungie,DHHILL,2019,1
Halo : Reach / Bungie,HUNT,2019,1
Halo : the master chief collection,DHHILL,2019,1
Horizon : zero dawn / developed by Guerrilla,DHHILL,2019,1
Horizon : zero dawn / developed by Guerrilla,HUNT,2019,2
Injustice 2 / developed by NetherRealm Studios,DHHILL,2019,9
Injustice 2 / developed by NetherRealm Studios,HUNT,2019,1
Jump Force / Namco Bandai,HUNT,2019,2
Jump force,HUNT,2019,6
Just dance / Ubisoft,HUNT,2019,1
Just dance 2018 / Ubisoft,HUNT,2019,1
"Kill la Kill, If : the game",DHHILL,2019,1
"Kill la Kill, If : the game",HUNT,2019,2
Kingdom hearts III,DHHILL,2019,2
Kingdom hearts III,HUNT,2019,3
Knack PS4,DHHILL,2019,3
LEGO Marvel Avengers,DHHILL,2019,1
Mad Max / developed by Avalanche Studios,DHHILL,2019,2
Mad Max / developed by Avalanche Studios,HUNT,2019,2
Madden NFL 17 / EA Sports,DHHILL,2019,3
Madden NFL 19 / EA Sports,DHHILL,2019,1
Madden NFL 19 / EA Sports,HUNT,2019,1
Mario tennis aces,DHHILL,2019,3
Mario tennis aces,HUNT,2019,10
Mariokart Wii,DHHILL,2019,1
Mariokart Wii,HUNT,2019,2
Marvel ultimate alliance 3 : the black order / Nintendo; developed by Koei Tecmo Games and Team Ninja,DHHILL,2019,1
Marvel ultimate alliance 3 : the black order / Nintendo; developed by Koei Tecmo Games and Team Ninja,HUNT,2019,2
Metro exodus / Deep Silver,DHHILL,2019,8
Monster Hunter. World,DHHILL,2019,1
Mortal kombat X / developed by NetherRealm Studios,DHHILL,2019,3
NBA 2K18,DHHILL,2019,4
NBA 2K18,HUNT,2019,10
NHL 17,DHHILL,2019,1
NHL 17,HUNT,2019,1
New Super Mario Bros. Wii,DHHILL,2019,1
New Super Mario Bros. Wii,HUNT,2019,1
No man's sky,DHHILL,2019,8
No man's sky,HUNT,2019,7
Octopath traveler,DHHILL,2019,11
Octopath traveler,HUNT,2019,8
Overwatch,HUNT,2019,1
Playstation VR worlds / developer: Sony Interactive Entertainment Inc,HUNT,2019,1
Pokâemon:  Let's go Pikachu!,DHHILL,2019,7
Pokâemon:  Let's go Pikachu!,HUNT,2019,2
Puyopuyo Tetris,HUNT,2019,3
Red dead redemption II,DHHILL,2019,6
Resident evil 2 / CAPCOM ; Simplygon Studios ; RE Engine,HUNT,2019,1
Resident evil 4 / CAPCOM,HUNT,2019,2
"Sekiro : Shadows die twice / FromSoftware, Activision",DHHILL,2019,1
"Sekiro : Shadows die twice / FromSoftware, Activision",HUNT,2019,1
Shovel knight / Yacht Club Games,DHHILL,2019,2
Sonic mania plus,DHHILL,2019,1
Spider-man / Insomniac Games,DHHILL,2019,5
Splatoon 2,DHHILL,2019,3
Splatoon 2,HUNT,2019,3
Spyro. Reignited trilogy,DHHILL,2019,4
Spyro. Reignited trilogy,HUNT,2019,3
Star Wars battlefront,DHHILL,2019,2
Super Mario 3D world,DHHILL,2019,1
Super Mario 3D world,HUNT,2019,1
Super Mario odyssey,DHHILL,2019,9
Super Mario odyssey,HUNT,2019,11
Teenage Mutant Ninja Turtles. Mutants in Manhattan,HUNT,2019,1
Tekken 7,DHHILL,2019,1
Tekken 7,HUNT,2019,4
"The Witcher. III, Wild hunt / CD Projekt Red",DHHILL,2019,2
The binding of Isaac: Afterbirth+,DHHILL,2019,1
The elder scrolls V. Skyrim / Bethesda Game Studios,DHHILL,2019,2
The elder scrolls V: Skyrim,DHHILL,2019,2
The elder scrolls V: Skyrim VR / Bethesda,DHHILL,2019,1
The elder scrolls V: Skyrim VR / Bethesda,HUNT,2019,3
The last guardian,HUNT,2019,2
"The last of us remastered / Sony Computer Entertainment America ; created and developed by Naughty Dog, Inc",DHHILL,2019,1
"The last of us remastered / Sony Computer Entertainment America ; created and developed by Naughty Dog, Inc",HUNT,2019,1
The walking dead. Complete first season plus 400 days : a Telltale Games series,DHHILL,2019,1
Titanfall 2,DHHILL,2019,2
Titanfall 2,HUNT,2019,1
Tom Clancy's Rainbow Six siege / developed and published by Ubisoft,DHHILL,2019,1
Tom Clancy's The Division / developed & published by Ubisoft,HUNT,2019,3
Uncharted 4 : a thief's end / Naughty Dog,DHHILL,2019,2
Uncharted 4 : a thief's end / Naughty Dog,HUNT,2019,9
Until dawn,HUNT,2019,2
Watch dogs / [developed by Ubisoft Montreal],DHHILL,2019,3
Watch dogs / [developed by Ubisoft Montreal],HUNT,2019,9
We happy few / Compulsion Games ; Unreal Engine,DHHILL,2019,3
We happy few / Compulsion Games ; Unreal Engine,HUNT,2019,1
Wolfenstein. The new order / Bethesda ; developed in association with MachineGames,HUNT,2019,1
inFamous. Second son / Sucker Punch,DHHILL,2019,2
inFamous. Second son / Sucker Punch,HUNT,2019,1
1-2-Switch,DHHILL,2020,4
7 days to die.: survival horde crafting game / developed by The Fun Pimps,DHHILL,2020,1
Arms,DHHILL,2020,9
Assassin's creed. Syndicate / developed and published by Ubisoft,DHHILL,2020,1
Assassin's creed. Syndicate / developed and published by Ubisoft,HUNT,2020,1
Assassin's creed. Unity,DHHILL,2020,1
Assassin's creed. Unity,HUNT,2020,2
Battlefield 4,DHHILL,2020,1
Battlefield 4,HUNT,2020,3
Bioshock : the collection,DHHILL,2020,1
Bioshock : the collection,HUNT,2020,1
Bloodborne,DHHILL,2020,3
Bloodborne,HUNT,2020,6
Borderlands3 / Gearbox Software,HUNT,2020,1
CTR : Crash team racing : nitro fueled / Activision,DHHILL,2020,2
CTR : Crash team racing : nitro fueled / Activision,HUNT,2020,3
Call of duty. Black Ops III,DHHILL,2020,1
Call of duty. Black Ops III,HUNT,2020,3
Call of duty:  black ops IIII,DHHILL,2020,5
Call of duty:  black ops IIII,HUNT,2020,4
Call of duty: Infinite warfare,DHHILL,2020,1
Call of duty: Infinite warfare,HUNT,2020,2
Call of duty: Modern warfare,HUNT,2020,1
Call of duty: WWII / Sledgehammer Games,DHHILL,2020,1
Call of duty: WWII / Sledgehammer Games,HUNT,2020,1
Cooking mama. Cook off,HUNT,2020,2
Crackdown 3,DHHILL,2020,1
Crackdown 3,HUNT,2020,1
DEAD RISING 3 XBOX ONE,DHHILL,2020,2
Dark souls III : the fire fades edition,DHHILL,2020,1
Dark souls III : the fire fades edition,HUNT,2020,1
Days gone / [developed by] Bend Studio,DHHILL,2020,5
Days gone / [developed by] Bend Studio,HUNT,2020,2
Deadrising 3,DHHILL,2020,1
Deadrising. Chop 'til you drop / Capcom Entertainment,HUNT,2020,1
Death stranding / Kojima Productions,DHHILL,2020,3
Death stranding / Kojima Productions,HUNT,2020,2
"Destiny 2 / Bungie, Activision",DHHILL,2020,5
Deus ex : mankind divided,HUNT,2020,2
Devil may cry 5 / Capcom ; Simplygon Studios ; RE Engine,DHHILL,2020,3
Dishonored2,DHHILL,2020,1
Donkey Kong country: tropical freeze,DHHILL,2020,3
Doom,HUNT,2020,1
Dragon Ball FighterZ,DHHILL,2020,2
Dragon Ball FighterZ,HUNT,2020,3
